id,lat,lon,number,score,rural,tax,azmua,pchpsa,fedmuap,mpc1,mpc2,mpc3,travel2,travel3
Tucson East,32.17653,-110.84098,110,28,URBAN,No,No,No,No,Tucson,Oro Valley,Cortaro,Less than or equal to 20 minutes,21 to 30 minutes
Tucson Estates,32.15131,-111.2751,113,36,URBAN,No,(See PC HPSAs),Geographic::(Tucson-West),No,Tucson Estates,Cortaro,Oro Valley,21 to 30 minutes,21 to 30 minutes
Tucson Foothills,32.23524,-110.84412,108,36,URBAN,No,No,No,No,Tucson,Oro Valley,Cortaro,Less than or equal to 20 minutes,21 to 30 minutes
Tucson South,32.0891,-110.90942,111,48,URBAN,No,(See PC HPSAs),Geographic::(Continental)::Geographic HN::(Tucson-Central)::Geographic::(Tucson-,58.70::MUA::(South Tucson),Tucson,Oro Valley,Cortaro,Less than or equal to 20 minutes,21 to 30 minutes
Tucson South East,32.1313,-110.77274,109,16,URBAN,No,No,No,No,Tucson,Oro Valley,Cortaro,Less than or equal to 20 minutes,21 to 30 minutes
Tucson West,32.25445,-111.09715,106,34,URBAN,No,(See PC HPSAs),Geographic HN::(Tucson-Southwest),58.70::MUA::(South Tucson),Tucson,Oro Valley,Cortaro,Less than or equal to 20 minutes,21 to 30 minutes
Vail,32.04119,-110.68854,104,12,URBAN,No,(See PC HPSAs),Geographic::(Continental),52.30::MUA::(Arivaca),Corona De Tucson,Vail,Sahuarita,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Valencia West,32.06371,-111.2069,115,36,URBAN,No,(See PC HPSAs),Geographic::(Arivaca)::Geographic::(Tucson-West),No,Valencia West,Sahuarita,Cortaro,21 to 30 minutes,21 to 30 minutes
White Mountain Apache Tribe,33.93714,-110.32113,16,74,INDIAN,No,(See PC HPSAs),Native American::(White Mountain Apache Tribe),60.20::MUA::(Gila County)::38.10::MUA::(Navajo County),Whiteriver,Lakeside,Show Low,31 to 40 minutes,31 to 40 minutes
Willcox & Bowie,32.14804,-109.60022,120,40,FRONTIER,No,(See PC HPSAs),Geographic HN::(Willcox/Bowie),61.00::MUA::(Bowie/Wilcox),Willcox,Bowie,Dragoon,21 to 30 minutes,31 to 40 minutes
Williamson,34.52748,-112.89956,19,14,FRONTIER,No,(See PC HPSAs),Geographic::(Chino Valley)::Geographic::(Yavapai-South),56.80::MUP-Low Inc::(Yavapai),Williamson,Prescott,Paulden,Less than or equal to 20 minutes,21 to 30 minutes
Winslow,34.87019,-110.2969,13,54,RURAL,No,No,No,38.10::MUA::(Navajo County),Winslow,Holbrook,Flagstaff,31 to 40 minutes,more than 80 minutes
Yuma,32.82656,-114.5757,87,36,RURAL,No,(See PC HPSAs),County::(Yuma County),53.20::MUA::(Yuma North)::47.60::MUA::(Yuma-West),Yuma,Somerton,San Luis,Less than or equal to 20 minutes,Less than or equal to 20 minutes
