id	date	r1	r2	TG92300
GAS-TG700774-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700774-095_S94_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700774-095_S94_L001_R2_001.fastq.gz	89.76%
GAS-TG700776-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700776-095_S95_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700776-095_S95_L001_R2_001.fastq.gz	89.50%
GAS-TG700778-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700778-095_S97_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700778-095_S97_L001_R2_001.fastq.gz	92.12%
GAS-TG700780-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700780-095_S98_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700780-095_S98_L001_R2_001.fastq.gz	92.00%
GAS-TG700782-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700782-095_S99_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700782-095_S99_L001_R2_001.fastq.gz	88.84%
GAS-TG700784-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700784-095_S100_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700784-095_S100_L001_R2_001.fastq.gz	88.86%
GAS-TG700786-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700786-095_S101_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700786-095_S101_L001_R2_001.fastq.gz	88.80%
GAS-TG700792-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700792-095_S104_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700792-095_S104_L001_R2_001.fastq.gz	89.68%
GAS-TG700796-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700796-095_S106_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700796-095_S106_L001_R2_001.fastq.gz	88.73%
GAS-TG700798-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700798-095_S107_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700798-095_S107_L001_R2_001.fastq.gz	91.98%
GAS-TG700800-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700800-095_S108_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700800-095_S108_L001_R2_001.fastq.gz	92.07%
GAS-TG700802-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700802-095_S109_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700802-095_S109_L001_R2_001.fastq.gz	87.58%
GAS-TG700804-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700804-095_S110_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700804-095_S110_L001_R2_001.fastq.gz	76.22%
GAS-TG700806-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700806-095_S111_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700806-095_S111_L001_R2_001.fastq.gz	89.93%
GAS-TG700808-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700808-095_S112_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700808-095_S112_L001_R2_001.fastq.gz	88.96%
GAS-TG700810-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700810-095_S113_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700810-095_S113_L001_R2_001.fastq.gz	91.34%
GAS-TG700812-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700812-095_S114_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700812-095_S114_L001_R2_001.fastq.gz	90.91%
GAS-TG700814-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700814-095_S115_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700814-095_S115_L001_R2_001.fastq.gz	89.22%
GAS-TG700816-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700816-095_S116_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700816-095_S116_L001_R2_001.fastq.gz	89.82%
GAS-TG704896-095	2021-02-08	/TGenNextGen/TGN-MiniSeq0064/PMI-TGN_Bowers_PH-GAS/GAS-TG704896-095_S1_R1_001.fastq.gz	/TGenNextGen/TGN-MiniSeq0064/PMI-TGN_Bowers_PH-GAS/GAS-TG704896-095_S1_R2_001.fastq.gz	90.09%
GAS-TG704898-095	2021-02-08	/TGenNextGen/TGN-MiniSeq0064/PMI-TGN_Bowers_PH-GAS/GAS-TG704898-095_S2_R1_001.fastq.gz	/TGenNextGen/TGN-MiniSeq0064/PMI-TGN_Bowers_PH-GAS/GAS-TG704898-095_S2_R2_001.fastq.gz	90.08%
GAS-TG704900-095	2021-02-08	/TGenNextGen/TGN-MiniSeq0064/PMI-TGN_Bowers_PH-GAS/GAS-TG704900-095_S3_R1_001.fastq.gz	/TGenNextGen/TGN-MiniSeq0064/PMI-TGN_Bowers_PH-GAS/GAS-TG704900-095_S3_R2_001.fastq.gz	90.10%
GAS-TG704902-095	2021-02-08	/TGenNextGen/TGN-MiniSeq0064/PMI-TGN_Bowers_PH-GAS/GAS-TG704902-095_S4_R1_001.fastq.gz	/TGenNextGen/TGN-MiniSeq0064/PMI-TGN_Bowers_PH-GAS/GAS-TG704902-095_S4_R2_001.fastq.gz	89.87%
GAS-TG704906-095	2021-02-08	/TGenNextGen/TGN-MiniSeq0064/PMI-TGN_Bowers_PH-GAS/GAS-TG704906-095_S6_R1_001.fastq.gz	/TGenNextGen/TGN-MiniSeq0064/PMI-TGN_Bowers_PH-GAS/GAS-TG704906-095_S6_R2_001.fastq.gz	90.07%
GAS-TG704908-095	2021-02-08	/TGenNextGen/TGN-MiniSeq0064/PMI-TGN_Bowers_PH-GAS/GAS-TG704908-095_S7_R1_001.fastq.gz	/TGenNextGen/TGN-MiniSeq0064/PMI-TGN_Bowers_PH-GAS/GAS-TG704908-095_S7_R2_001.fastq.gz	90.10%
GAS-TG704910-095	2021-02-08	/TGenNextGen/TGN-MiniSeq0064/PMI-TGN_Bowers_PH-GAS/GAS-TG704910-095_S8_R1_001.fastq.gz	/TGenNextGen/TGN-MiniSeq0064/PMI-TGN_Bowers_PH-GAS/GAS-TG704910-095_S8_R2_001.fastq.gz	90.09%
